tipo_contrato,puesto,fuente,salario_promedio,empresa,tecnologias,fecha_publicacion,ubicacion
Freelance,Principal Machine Learning Engineer,Datos Simulados España,63220.0,Agencia Digital 99,"HTML, TypeScript, React, Vue.js",2025-06-19,Spain
Temporal,Senior Technical Lead,Datos Simulados España,48307.0,Health Tech 45,"PostgreSQL, SASS, MySQL, Git, Flask, Django",2025-06-19,Spain
Indefinido,Director Site Reliability Engineer,Datos Simulados España,77125.0,Banco 71,"Azure, PHP, ASP.NET, Ruby on Rails",2025-06-19,Spain
Indefinido,Director Data Scientist,Datos Simulados España,73785.0,Aseguradora 14,"Angular, Java, HTML, Express, Redis, Vue.js, Ansible, Docker",2025-06-19,Spain
Freelance,Junior Mobile Developer,Datos Simulados España,27292.0,Agencia Digital 5,"PostgreSQL, Azure, Kubernetes, TypeScript, GCP, Jenkins, Git, Redis",2025-06-19,Spain
Indefinido,Lead Data Scientist,Datos Simulados España,52472.0,Empresa Tecnológica 36,"JavaScript, Terraform, Azure, Ruby on Rails, SQL, C#, Python",2025-06-19,Spain
Temporal,Director Product Manager,Datos Simulados España,80783.0,Multinacional 48,"Vue.js, SASS, Flask",2025-06-19,Spain
Prácticas,Lead UX/UI Designer,Datos Simulados España,62034.0,Empresa de Software 37,"PostgreSQL, Kubernetes, GCP",2025-06-19,Spain
Indefinido,Semi Senior Product Manager,Datos Simulados España,30255.0,E-commerce 46,"Python, Spring, TypeScript, SQL, Ruby on Rails, Kubernetes, Django, Ansible",2025-06-19,Spain
Indefinido,Director Technical Lead,Datos Simulados España,58816.0,Empresa de Telecomunicaciones 95,"Ruby on Rails, Redis, TypeScript, CSS, MongoDB, Vue.js",2025-06-19,Spain
Prácticas,Director Analista Programador,Datos Simulados España,69798.0,Multinacional 97,"Redis, Ruby on Rails, JavaScript, Vue.js, Terraform, MySQL, AWS, Angular",2025-06-19,Spain
Prácticas,Junior Technical Lead,Datos Simulados España,22236.0,E-commerce 81,"GCP, C#, PostgreSQL, Python, ASP.NET, Azure, MySQL",2025-06-19,Spain
Prácticas,Director Machine Learning Engineer,Datos Simulados España,87174.0,Empresa Tecnológica 84,"Terraform, Kubernetes, PHP, TypeScript, Jenkins, Git",2025-06-19,Spain
Freelance,Semi Senior Data Engineer,Datos Simulados España,34387.0,Multinacional 49,"Terraform, Jenkins, Angular",2025-06-19,Spain
Prácticas,Lead Analista Programador,Datos Simulados España,64312.0,E-commerce 28,"JavaScript, Spring, Ansible, Vue.js, Redis, AWS, Java, MySQL",2025-06-19,Spain
Prácticas,Director Machine Learning Engineer,Datos Simulados España,68593.0,Banco 63,"Ruby on Rails, Vue.js, Node.js, Kubernetes, Python",2025-06-19,Spain
Prácticas,Senior Desarrollador Full Stack,Datos Simulados España,39171.0,E-commerce 83,"Ansible, Python, Spring, CSS, GCP",2025-06-19,Spain
Freelance,Senior DevOps Engineer,Datos Simulados España,40439.0,Health Tech 80,"Azure, Java, AWS, Ruby on Rails, Docker",2025-06-19,Spain
Temporal,Principal Site Reliability Engineer,Datos Simulados España,50001.0,Consultora IT 41,"Java, Angular, GCP",2025-06-19,Spain
Freelance,Semi Senior Ingeniero de Software,Datos Simulados España,31031.0,Fintech 75,"Java, Kubernetes, CSS, Azure, PHP, Ansible, Terraform",2025-06-19,Spain
Freelance,Director QA Engineer,Datos Simulados España,76760.0,Health Tech 21,"JavaScript, Express, Git, Kubernetes, React",2025-06-19,Spain
Prácticas,Director Product Manager,Datos Simulados España,82284.0,Health Tech 50,"SQL, Terraform, Spring, C#, JavaScript, GCP",2025-06-19,Spain
Prácticas,Director Site Reliability Engineer,Datos Simulados España,86327.0,E-commerce 12,"SASS, CSS, Python, Vue.js, Spring, TypeScript, Terraform",2025-06-19,Spain
Temporal,Director UX/UI Designer,Datos Simulados España,65452.0,Startup 81,"MySQL, CSS, Redis, ASP.NET",2025-06-19,Spain
Freelance,Senior Data Scientist,Datos Simulados España,46632.0,Multinacional 59,"HTML, Vue.js, Spring",2025-06-19,Spain
Prácticas,Senior Analista Programador,Datos Simulados España,39994.0,Consultora IT 79,"PostgreSQL, Git, Express, MySQL, Redis, Vue.js",2025-06-19,Spain
Temporal,Director Machine Learning Engineer,Datos Simulados España,84868.0,Aseguradora 31,"Jenkins, Flask, Spring, React, CSS, Node.js",2025-06-19,Spain
Indefinido,Senior Technical Lead,Datos Simulados España,40140.0,Aseguradora 12,"Angular, GCP, SQL, Kubernetes, PHP, SASS, TypeScript, Docker",2025-06-19,Spain
Freelance,Director Data Engineer,Datos Simulados España,87532.0,Consultora IT 95,"JavaScript, Terraform, Python, Jenkins",2025-06-19,Spain
Prácticas,Principal Desarrollador Full Stack,Datos Simulados España,57171.0,Banco 1,"GCP, Java, Jenkins, Angular, CSS, AWS, Kubernetes",2025-06-19,Spain
Temporal,Principal UX/UI Designer,Datos Simulados España,68906.0,Fintech 24,"Express, SQL, MongoDB, Flask, TypeScript, Django, Python, Terraform",2025-06-19,Spain
Temporal,Semi Senior Ingeniero de Software,Datos Simulados España,29717.0,Empresa de Software 8,"Vue.js, PostgreSQL, HTML, Django",2025-06-19,Spain
Freelance,Junior Ingeniero de Software,Datos Simulados España,23811.0,Fintech 63,"Flask, Kubernetes, Node.js, Jenkins",2025-06-19,Spain
Freelance,Semi Senior Machine Learning Engineer,Datos Simulados España,30826.0,Consultora IT 78,"Vue.js, JavaScript, AWS, MySQL, Git, Node.js, TypeScript, ASP.NET",2025-06-19,Spain
Prácticas,Junior Desarrollador Backend,Datos Simulados España,26765.0,Empresa de Telecomunicaciones 68,"React, GCP, ASP.NET, SQL, TypeScript, Angular, HTML",2025-06-19,Spain
Indefinido,Senior Desarrollador Backend,Datos Simulados España,48926.0,Health Tech 48,"Kubernetes, TypeScript, Azure, Django, Vue.js, Spring, Docker, JavaScript",2025-06-19,Spain
Indefinido,Junior Desarrollador Backend,Datos Simulados España,20628.0,Startup 35,"Jenkins, AWS, Redis",2025-06-19,Spain
Prácticas,Junior UX/UI Designer,Datos Simulados España,26120.0,Consultora IT 76,"C#, Angular, Django, Node.js, PHP, Jenkins, Docker, React",2025-06-19,Spain
Freelance,Director Machine Learning Engineer,Datos Simulados España,68398.0,Consultora IT 7,"PostgreSQL, Flask, TypeScript, SASS, GCP, Kubernetes",2025-06-19,Spain
Freelance,Senior Analista Programador,Datos Simulados España,39278.0,Empresa de Telecomunicaciones 40,"Java, Ruby on Rails, Jenkins",2025-06-19,Spain
Freelance,Senior Product Manager,Datos Simulados España,48013.0,Agencia Digital 29,"TypeScript, GCP, MongoDB, Angular, Flask, Git, SQL, C#",2025-06-19,Spain
Temporal,Principal Desarrollador Frontend,Datos Simulados España,51825.0,Banco 10,"PHP, Docker, MySQL, Vue.js, Spring, Node.js, Terraform",2025-06-19,Spain
Indefinido,Principal Technical Lead,Datos Simulados España,52018.0,Health Tech 7,"SQL, Flask, PostgreSQL, Django, C#, Docker",2025-06-19,Spain
Prácticas,Senior Mobile Developer,Datos Simulados España,49563.0,Banco 28,"PostgreSQL, Azure, Java, C#",2025-06-19,Spain
Temporal,Lead QA Engineer,Datos Simulados España,52609.0,Empresa de Telecomunicaciones 9,"JavaScript, Ruby on Rails, Docker, Express, Azure, CSS",2025-06-19,Spain
Prácticas,Junior DevOps Engineer,Datos Simulados España,25101.0,Banco 8,"Express, PostgreSQL, ASP.NET, Docker",2025-06-19,Spain
Prácticas,Senior Site Reliability Engineer,Datos Simulados España,51372.0,Consultora IT 22,"Spring, Ruby on Rails, GCP, HTML, React, SQL, Azure, PostgreSQL",2025-06-19,Spain
Indefinido,Senior Mobile Developer,Datos Simulados España,51515.0,Multinacional 27,"SQL, Flask, Express, ASP.NET, JavaScript, React",2025-06-19,Spain
Freelance,Semi Senior DevOps Engineer,Datos Simulados España,29615.0,Banco 6,"SASS, Kubernetes, JavaScript, Spring, SQL",2025-06-19,Spain
Prácticas,Lead Data Scientist,Datos Simulados España,55106.0,Empresa de Software 64,"SASS, Ansible, PHP, HTML, GCP, Kubernetes, Redis",2025-06-19,Spain
Prácticas,Junior Data Scientist,Datos Simulados España,19459.0,Health Tech 75,"Node.js, C#, SQL, Angular, GCP",2025-06-19,Spain
Prácticas,Senior QA Engineer,Datos Simulados España,52793.0,Empresa Tecnológica 86,"AWS, React, Flask, PHP, Angular, Docker, Java, HTML",2025-06-19,Spain
Freelance,Principal Site Reliability Engineer,Datos Simulados España,65283.0,Empresa de Software 68,"AWS, PHP, MySQL, PostgreSQL",2025-06-19,Spain
Freelance,Director Cloud Engineer,Datos Simulados España,75855.0,Consultora IT 77,"TypeScript, ASP.NET, SASS, C#, CSS",2025-06-19,Spain
Temporal,Lead Ingeniero de Software,Datos Simulados España,50031.0,Consultora IT 96,"Flask, Ansible, MongoDB, Azure, Docker, Redis, Java",2025-06-19,Spain
Prácticas,Director Scrum Master,Datos Simulados España,83428.0,Multinacional 1,"ASP.NET, SASS, Flask, MongoDB",2025-06-19,Spain
Prácticas,Lead Cloud Engineer,Datos Simulados España,65427.0,Empresa de Telecomunicaciones 97,"Python, TypeScript, Vue.js, React, PostgreSQL, Terraform",2025-06-19,Spain
Indefinido,Semi Senior Ingeniero de Software,Datos Simulados España,30038.0,Empresa de Software 10,"PostgreSQL, Java, GCP, Python, SASS, C#",2025-06-19,Spain
Temporal,Lead UX/UI Designer,Datos Simulados España,63441.0,E-commerce 61,"Jenkins, Azure, C#, Ansible",2025-06-19,Spain
Freelance,Lead Arquitecto de Software,Datos Simulados España,58384.0,Aseguradora 43,"Ansible, Docker, AWS, Python, ASP.NET",2025-06-19,Spain
Temporal,Lead Machine Learning Engineer,Datos Simulados España,64370.0,Health Tech 57,"Vue.js, Spring, MySQL, Git, Express, Redis",2025-06-19,Spain
Temporal,Semi Senior Scrum Master,Datos Simulados España,28279.0,Empresa de Software 57,"SQL, HTML, Ruby on Rails, GCP",2025-06-19,Spain
Temporal,Lead Data Scientist,Datos Simulados España,54927.0,Consultora IT 38,"Angular, Kubernetes, Node.js, React, CSS, GCP, Vue.js",2025-06-19,Spain
Freelance,Lead DevOps Engineer,Datos Simulados España,69262.0,E-commerce 60,"SASS, Redis, Jenkins, Flask, C#",2025-06-19,Spain
Temporal,Junior Mobile Developer,Datos Simulados España,18790.0,E-commerce 34,"Node.js, Git, Ruby on Rails, MongoDB",2025-06-19,Spain
Prácticas,Semi Senior UX/UI Designer,Datos Simulados España,34798.0,Startup 47,"Ansible, PostgreSQL, TypeScript",2025-06-19,Spain
Indefinido,Lead Data Engineer,Datos Simulados España,66642.0,Empresa de Software 21,"AWS, Django, GCP",2025-06-19,Spain
Prácticas,Semi Senior Ingeniero de Software,Datos Simulados España,31292.0,Startup 19,"Angular, Vue.js, Ansible, AWS, MySQL, ASP.NET, Spring, Terraform",2025-06-19,Spain
Freelance,Junior Desarrollador Full Stack,Datos Simulados España,26442.0,Consultora IT 40,"CSS, SASS, MongoDB",2025-06-19,Spain
Freelance,Semi Senior Analista Programador,Datos Simulados España,31344.0,Consultora IT 7,"Python, C#, Kubernetes, Ansible, React",2025-06-19,Spain
Freelance,Junior Cloud Engineer,Datos Simulados España,27813.0,Banco 76,"CSS, Ansible, MySQL, Angular, Django, Java, Azure, Spring",2025-06-19,Spain
Freelance,Semi Senior Cloud Engineer,Datos Simulados España,34609.0,Agencia Digital 29,"PostgreSQL, Express, Azure, Docker, Python, Redis",2025-06-19,Spain
Temporal,Principal Desarrollador Frontend,Datos Simulados España,61563.0,Startup 93,"Java, Vue.js, Terraform, JavaScript, TypeScript, MySQL",2025-06-19,Spain
Prácticas,Principal Arquitecto de Software,Datos Simulados España,69088.0,Agencia Digital 81,"Kubernetes, Git, JavaScript",2025-06-19,Spain
Prácticas,Senior Desarrollador Frontend,Datos Simulados España,40398.0,Startup 100,"Docker, Vue.js, Kubernetes",2025-06-19,Spain
Temporal,Lead Machine Learning Engineer,Datos Simulados España,50946.0,Aseguradora 18,"Jenkins, Redis, C#",2025-06-19,Spain
Freelance,Principal Desarrollador Backend,Datos Simulados España,66436.0,Consultora IT 68,"Node.js, Flask, TypeScript, AWS, PostgreSQL, Ruby on Rails, HTML, Express",2025-06-19,Spain
Temporal,Principal Data Engineer,Datos Simulados España,52831.0,Startup 58,"ASP.NET, CSS, MySQL, Docker, Ruby on Rails",2025-06-19,Spain
Indefinido,Lead Arquitecto de Software,Datos Simulados España,65133.0,Health Tech 78,"AWS, CSS, PHP, Express, MongoDB",2025-06-19,Spain
Indefinido,Principal Data Engineer,Datos Simulados España,68375.0,Fintech 17,"CSS, Angular, Java, GCP, Azure, PostgreSQL",2025-06-19,Spain
Freelance,Principal Arquitecto de Software,Datos Simulados España,57139.0,E-commerce 67,"AWS, Ansible, JavaScript, Git",2025-06-19,Spain
Freelance,Senior Product Manager,Datos Simulados España,49475.0,Consultora IT 46,"Git, MongoDB, PHP, Spring, Django, Redis, ASP.NET, Ruby on Rails",2025-06-19,Spain
Indefinido,Semi Senior Product Manager,Datos Simulados España,38120.0,Aseguradora 16,"Ansible, Azure, Terraform, Flask, Jenkins, Angular",2025-06-19,Spain
Prácticas,Director DevOps Engineer,Datos Simulados España,84572.0,Agencia Digital 96,"Django, Jenkins, Terraform, ASP.NET, Ruby on Rails, TypeScript",2025-06-19,Spain
Temporal,Lead UX/UI Designer,Datos Simulados España,62759.0,Fintech 74,"Python, Ansible, C#, SASS",2025-06-19,Spain
Freelance,Junior Site Reliability Engineer,Datos Simulados España,21440.0,Empresa Tecnológica 69,"AWS, Azure, Git, TypeScript, Java, Spring, Flask",2025-06-19,Spain
Indefinido,Lead Ingeniero de Software,Datos Simulados España,58216.0,Fintech 17,"Express, SASS, Django, HTML, React, Azure, Kubernetes, Python",2025-06-19,Spain
Prácticas,Semi Senior Arquitecto de Software,Datos Simulados España,38716.0,Banco 52,"Kubernetes, CSS, Spring, Redis, Ruby on Rails, Vue.js, HTML",2025-06-19,Spain
Temporal,Principal QA Engineer,Datos Simulados España,61016.0,Banco 90,"SQL, Azure, Flask, CSS",2025-06-19,Spain
Indefinido,Junior UX/UI Designer,Datos Simulados España,19477.0,Empresa de Software 34,"Azure, HTML, CSS, SASS, ASP.NET, Vue.js",2025-06-19,Spain
Prácticas,Principal UX/UI Designer,Datos Simulados España,53995.0,Aseguradora 60,"MongoDB, Docker, SASS",2025-06-19,Spain
Freelance,Junior QA Engineer,Datos Simulados España,18406.0,Empresa de Telecomunicaciones 77,"PostgreSQL, Express, Node.js, Jenkins, JavaScript, Java, CSS",2025-06-19,Spain
Prácticas,Junior Site Reliability Engineer,Datos Simulados España,19516.0,E-commerce 10,"Ansible, TypeScript, Redis, Angular, Express, ASP.NET, Kubernetes, Docker",2025-06-19,Spain
Indefinido,Senior Desarrollador Full Stack,Datos Simulados España,50663.0,Health Tech 27,"Django, Flask, Express",2025-06-19,Spain
Temporal,Semi Senior Cloud Engineer,Datos Simulados España,33069.0,E-commerce 6,"Ruby on Rails, Python, PHP, MySQL, Ansible, C#",2025-06-19,Spain
Prácticas,Semi Senior Mobile Developer,Datos Simulados España,36927.0,Agencia Digital 12,"SASS, Django, Node.js, GCP, C#",2025-06-19,Spain
Prácticas,Director QA Engineer,Datos Simulados España,67110.0,Empresa de Telecomunicaciones 65,"Jenkins, SQL, Azure",2025-06-19,Spain
Freelance,Lead Ingeniero de Software,Datos Simulados España,59419.0,Consultora IT 78,"AWS, React, Ansible, Kubernetes, Jenkins, Docker, Ruby on Rails, Express",2025-06-19,Spain
Indefinido,Semi Senior Site Reliability Engineer,Datos Simulados España,31935.0,Empresa Tecnológica 49,"Spring, React, Docker, Node.js",2025-06-19,Spain
Temporal,Semi Senior Analista Programador,Datos Simulados España,37973.0,Banco 99,"Angular, Node.js, Azure, Express, Ruby on Rails",2025-06-19,Spain
Prácticas,Senior Desarrollador Backend,Datos Simulados España,45823.0,Aseguradora 70,"MongoDB, TypeScript, HTML, Ruby on Rails",2025-06-19,Spain
Temporal,Semi Senior Desarrollador Frontend,Datos Simulados España,39622.0,Banco 74,"Jenkins, AWS, Node.js, Azure, Java, Ruby on Rails",2025-06-19,Spain
Temporal,Semi Senior Analista Programador,Datos Simulados España,35261.0,Empresa Tecnológica 25,"Angular, Vue.js, MySQL, CSS, MongoDB, PostgreSQL, SQL",2025-06-19,Spain
Freelance,Principal Desarrollador Frontend,Datos Simulados España,51599.0,Multinacional 31,"TypeScript, Python, Angular",2025-06-19,Spain
Indefinido,Principal Desarrollador Backend,Datos Simulados España,69988.0,Empresa Tecnológica 85,"SQL, Spring, Express, Python, HTML",2025-06-19,Spain
Indefinido,Director Data Scientist,Datos Simulados España,84503.0,Banco 47,"Terraform, C#, ASP.NET",2025-06-19,Spain
Temporal,Director Machine Learning Engineer,Datos Simulados España,81673.0,Fintech 42,"CSS, Terraform, HTML, TypeScript, MySQL",2025-06-19,Spain
Prácticas,Director Machine Learning Engineer,Datos Simulados España,86588.0,Health Tech 61,"ASP.NET, Spring, Azure, GCP, PostgreSQL, Terraform, Ansible",2025-06-19,Spain
Indefinido,Senior Cloud Engineer,Datos Simulados España,38175.0,Agencia Digital 85,"Java, SASS, Redis, Terraform, Ruby on Rails, PostgreSQL",2025-06-19,Spain
Temporal,Junior Product Manager,Datos Simulados España,26811.0,Empresa Tecnológica 75,"Python, Spring, ASP.NET, PHP, GCP, Vue.js",2025-06-19,Spain
Freelance,Junior Product Manager,Datos Simulados España,21555.0,Banco 38,"PHP, Express, Spring, CSS",2025-06-19,Spain
Temporal,Junior Desarrollador Frontend,Datos Simulados España,23373.0,Multinacional 78,"Spring, Azure, HTML, Ansible",2025-06-19,Spain
Prácticas,Lead Cloud Engineer,Datos Simulados España,61525.0,Banco 69,"PHP, JavaScript, Kubernetes, CSS, Jenkins",2025-06-19,Spain
Prácticas,Junior Mobile Developer,Datos Simulados España,25211.0,Consultora IT 11,"Vue.js, Kubernetes, CSS, TypeScript, AWS, HTML",2025-06-19,Spain
Temporal,Lead Site Reliability Engineer,Datos Simulados España,52093.0,Startup 99,"HTML, Django, SASS, MongoDB, Kubernetes, AWS, Ansible, SQL",2025-06-19,Spain
Prácticas,Junior Site Reliability Engineer,Datos Simulados España,26693.0,Startup 88,"Ansible, Flask, Angular, Redis, Ruby on Rails, SQL",2025-06-19,Spain
Indefinido,Principal DevOps Engineer,Datos Simulados España,62702.0,Aseguradora 35,"Azure, React, Redis, PostgreSQL, TypeScript, C#, Ansible",2025-06-19,Spain
Prácticas,Senior Analista Programador,Datos Simulados España,53671.0,Startup 58,"PHP, Redis, Terraform, Django",2025-06-19,Spain
