titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,salario_promedio,descripcion,categoria,tecnologias,url,id,fuente,fecha_extraccion
Cloud Architect,TechCorp,Valencia,2025-04-29,Completa,Completa,48000 - 59000 €,48000.0,59000.0,53500.0,"Estamos buscando un profesional con experiencia en AWS, Java, Vue.js, Express, Linux, Docker. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"AWS, Java, Vue.js, Express, Linux, Docker",https://www.ejemplo.com/job/1013,job-1013,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,CodeFusion,Alicante,2025-05-04,Freelance,Completa,56000 - 76000 €,56000.0,76000.0,66000.0,"Estamos buscando un profesional con experiencia en AWS, SQL, TypeScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"AWS, SQL, TypeScript",https://www.ejemplo.com/job/1014,job-1014,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,TechCorp,Remoto,2025-04-19,Freelance,Parcial,62000 - 105000 €,62000.0,105000.0,83500.0,"Estamos buscando un profesional con experiencia en Azure, MySQL, Express, Node.js, PostgreSQL, Kubernetes, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Azure, MySQL, Express, Node.js, PostgreSQL, Kubernetes, GitLab",https://www.ejemplo.com/job/1015,job-1015,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Scientist,ByteLogic,Madrid,2025-04-28,Temporal,Completa,33000 - 69000 €,33000.0,69000.0,51000.0,"Estamos buscando un profesional con experiencia en Scrum, Kubernetes, Agile, PostgreSQL, Linux, Jira, Azure. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Scrum, Kubernetes, Agile, PostgreSQL, Linux, Jira, Azure",https://www.ejemplo.com/job/1016,job-1016,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,LogicWorks,Bilbao,2025-04-21,Parcial,Parcial,33000 - 40000 €,33000.0,40000.0,36500.0,"Estamos buscando un profesional con experiencia en Scrum, GitHub Actions, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Scrum, GitHub Actions, GitLab",https://www.ejemplo.com/job/1017,job-1017,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,IntelliSoft,Málaga,2025-05-15,Indefinido,Parcial,47000 - 80000 €,47000.0,80000.0,63500.0,"Estamos buscando un profesional con experiencia en Azure, Spring, REST API. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Azure, Spring, REST API",https://www.ejemplo.com/job/1018,job-1018,Adzuna (Simulado),2025-05-18 13:11:27.076933
Scrum Master,InnovateTech,Bilbao,2025-04-24,Freelance,Completa,37000 - 43000 €,37000.0,43000.0,40000.0,"Estamos buscando un profesional con experiencia en MongoDB, TypeScript, AWS. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"MongoDB, TypeScript, AWS",https://www.ejemplo.com/job/1019,job-1019,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,HyperData,Zaragoza,2025-05-01,Indefinido,Completa,40000 - 60000 €,40000.0,60000.0,50000.0,"Estamos buscando un profesional con experiencia en REST API, Kubernetes, Linux, Scrum, JavaScript, MongoDB, Flask. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"REST API, Kubernetes, Linux, Scrum, JavaScript, MongoDB, Flask",https://www.ejemplo.com/job/1020,job-1020,Adzuna (Simulado),2025-05-18 13:11:27.076933
QA Engineer,LogicWorks,Valencia,2025-05-14,Indefinido,Parcial,47000 - 87000 €,47000.0,87000.0,67000.0,"Estamos buscando un profesional con experiencia en React, GitHub Actions, Linux, Express. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"React, GitHub Actions, Linux, Express",https://www.ejemplo.com/job/1021,job-1021,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,CodeFusion,Barcelona,2025-04-24,Prácticas,Completa,32000 - 40000 €,32000.0,40000.0,36000.0,"Estamos buscando un profesional con experiencia en AWS, Express, JavaScript, Node.js, GCP. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"AWS, Express, JavaScript, Node.js, GCP",https://www.ejemplo.com/job/1022,job-1022,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,ElectronMinds,Sevilla,2025-05-06,Completa,Parcial,41000 - 91000 €,41000.0,91000.0,66000.0,"Estamos buscando un profesional con experiencia en AWS, Linux, Jira. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"AWS, Linux, Jira",https://www.ejemplo.com/job/1023,job-1023,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Engineer,CloudNative,Madrid,2025-05-18,Prácticas,Completa,56000 - 67000 €,56000.0,67000.0,61500.0,"Estamos buscando un profesional con experiencia en Linux, Node.js, GCP. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Linux, Node.js, GCP",https://www.ejemplo.com/job/1024,job-1024,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,ElectronMinds,Zaragoza,2025-05-12,Temporal,Parcial,74000 - 119000 €,74000.0,119000.0,96500.0,"Estamos buscando un profesional con experiencia en AWS, Spring, Scrum, GitHub Actions, TypeScript, Jira, Node.js. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"AWS, Spring, Scrum, GitHub Actions, TypeScript, Jira, Node.js",https://www.ejemplo.com/job/1025,job-1025,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,InnovateTech,Sevilla,2025-05-01,Completa,Parcial,60000 - 76000 €,60000.0,76000.0,68000.0,"Estamos buscando un profesional con experiencia en React, CI/CD, TypeScript, Agile, Linux, Git. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"React, CI/CD, TypeScript, Agile, Linux, Git",https://www.ejemplo.com/job/1026,job-1026,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,DevFusion,Zaragoza,2025-04-26,Indefinido,Completa,74000 - 90000 €,74000.0,90000.0,82000.0,"Estamos buscando un profesional con experiencia en Angular, MongoDB, Python, REST API, Scrum, Flask, Git. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Angular, MongoDB, Python, REST API, Scrum, Flask, Git",https://www.ejemplo.com/job/1027,job-1027,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,HyperData,Valencia,2025-05-02,Parcial,Parcial,27000 - 55000 €,27000.0,55000.0,41000.0,"Estamos buscando un profesional con experiencia en SQL, MySQL, Python, Node.js, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"SQL, MySQL, Python, Node.js, GitLab",https://www.ejemplo.com/job/1028,job-1028,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,JavaPros,Bilbao,2025-05-08,Prácticas,Completa,50000 - 59000 €,50000.0,59000.0,54500.0,"Estamos buscando un profesional con experiencia en Python, GitLab, React. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Python, GitLab, React",https://www.ejemplo.com/job/1029,job-1029,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,ByteLogic,Alicante,2025-05-05,Freelance,Parcial,69000 - 94000 €,69000.0,94000.0,81500.0,"Estamos buscando un profesional con experiencia en MySQL, React, Azure. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"MySQL, React, Azure",https://www.ejemplo.com/job/1030,job-1030,Adzuna (Simulado),2025-05-18 13:11:27.076933
Product Manager,LogicWorks,Sevilla,2025-05-13,Completa,Completa,58000 - 64000 €,58000.0,64000.0,61000.0,"Estamos buscando un profesional con experiencia en MongoDB, GitLab, Express, Linux, Docker. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"MongoDB, GitLab, Express, Linux, Docker",https://www.ejemplo.com/job/1031,job-1031,Adzuna (Simulado),2025-05-18 13:11:27.076933
UX/UI Designer,DevFusion,Híbrido (Madrid),2025-04-22,Parcial,Parcial,26000 - 32000 €,26000.0,32000.0,29000.0,"Estamos buscando un profesional con experiencia en Azure, JavaScript, Docker, Flask, Linux. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Azure, JavaScript, Docker, Flask, Linux",https://www.ejemplo.com/job/1032,job-1032,Adzuna (Simulado),2025-05-18 13:11:27.076933
Product Manager,InnovateTech,Alicante,2025-05-18,Temporal,Parcial,41000 - 58000 €,41000.0,58000.0,49500.0,"Estamos buscando un profesional con experiencia en JavaScript, GitLab, Kubernetes, Django. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"JavaScript, GitLab, Kubernetes, Django",https://www.ejemplo.com/job/1033,job-1033,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,TechCorp,Málaga,2025-05-11,Parcial,Completa,75000 - 93000 €,75000.0,93000.0,84000.0,"Estamos buscando un profesional con experiencia en PostgreSQL, SQL, Express. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"PostgreSQL, SQL, Express",https://www.ejemplo.com/job/1034,job-1034,Adzuna (Simulado),2025-05-18 13:11:27.076933
CTO,CodeFusion,Bilbao,2025-05-04,Freelance,Parcial,49000 - 84000 €,49000.0,84000.0,66500.0,"Estamos buscando un profesional con experiencia en Docker, Java, Azure, React, Git, Kubernetes. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Docker, Java, Azure, React, Git, Kubernetes",https://www.ejemplo.com/job/1035,job-1035,Adzuna (Simulado),2025-05-18 13:11:27.076933
Scrum Master,CloudNative,Híbrido (Madrid),2025-04-28,Freelance,Completa,47000 - 95000 €,47000.0,95000.0,71000.0,"Estamos buscando un profesional con experiencia en React, MongoDB, TypeScript, Spring, PostgreSQL, MySQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"React, MongoDB, TypeScript, Spring, PostgreSQL, MySQL",https://www.ejemplo.com/job/1036,job-1036,Adzuna (Simulado),2025-05-18 13:11:27.076933
DevOps Engineer,IntelliSoft,Híbrido (Madrid),2025-04-23,Indefinido,Completa,48000 - 60000 €,48000.0,60000.0,54000.0,"Estamos buscando un profesional con experiencia en Flask, Kubernetes, REST API, Scrum, React. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Flask, Kubernetes, REST API, Scrum, React",https://www.ejemplo.com/job/1037,job-1037,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,DataMinds,Barcelona,2025-04-21,Temporal,Completa,72000 - 115000 €,72000.0,115000.0,93500.0,"Estamos buscando un profesional con experiencia en Jira, CI/CD, Flask, Docker. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Jira, CI/CD, Flask, Docker",https://www.ejemplo.com/job/1038,job-1038,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Scientist,JavaPros,Zaragoza,2025-05-09,Prácticas,Parcial,28000 - 77000 €,28000.0,77000.0,52500.0,"Estamos buscando un profesional con experiencia en Azure, REST API, Vue.js, Kubernetes. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Azure, REST API, Vue.js, Kubernetes",https://www.ejemplo.com/job/1039,job-1039,Adzuna (Simulado),2025-05-18 13:11:27.076933
QA Engineer,FutureCode,Zaragoza,2025-04-20,Completa,Parcial,58000 - 99000 €,58000.0,99000.0,78500.0,"Estamos buscando un profesional con experiencia en JavaScript, TypeScript, Jira, Azure. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"JavaScript, TypeScript, Jira, Azure",https://www.ejemplo.com/job/1040,job-1040,Adzuna (Simulado),2025-05-18 13:11:27.076933
Technical Lead,TechCorp,Bilbao,2025-05-01,Freelance,Parcial,59000 - 67000 €,59000.0,67000.0,63000.0,"Estamos buscando un profesional con experiencia en Azure, Linux, JavaScript, Scrum. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Azure, Linux, JavaScript, Scrum",https://www.ejemplo.com/job/1041,job-1041,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cybersecurity Analyst,DevFusion,Remoto,2025-04-25,Freelance,Parcial,33000 - 53000 €,33000.0,53000.0,43000.0,"Estamos buscando un profesional con experiencia en AWS, REST API, Flask, Agile, PostgreSQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"AWS, REST API, Flask, Agile, PostgreSQL",https://www.ejemplo.com/job/1042,job-1042,Adzuna (Simulado),2025-05-18 13:11:27.076933
Product Manager,KernelLabs,Alicante,2025-05-12,Completa,Parcial,36000 - 70000 €,36000.0,70000.0,53000.0,"Estamos buscando un profesional con experiencia en Scrum, TypeScript, Agile, MongoDB, Node.js. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Scrum, TypeScript, Agile, MongoDB, Node.js",https://www.ejemplo.com/job/1043,job-1043,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,ElectronMinds,Alicante,2025-05-08,Prácticas,Parcial,69000 - 75000 €,69000.0,75000.0,72000.0,"Estamos buscando un profesional con experiencia en SQL, GitLab, REST API, Flask, Kubernetes, Java. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"SQL, GitLab, REST API, Flask, Kubernetes, Java",https://www.ejemplo.com/job/1044,job-1044,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,JavaPros,Híbrido (Madrid),2025-05-10,Parcial,Completa,65000 - 80000 €,65000.0,80000.0,72500.0,"Estamos buscando un profesional con experiencia en Express, Java, JavaScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Express, Java, JavaScript",https://www.ejemplo.com/job/1045,job-1045,Adzuna (Simulado),2025-05-18 13:11:27.076933
CTO,DevFusion,Málaga,2025-05-07,Indefinido,Completa,36000 - 59000 €,36000.0,59000.0,47500.0,"Estamos buscando un profesional con experiencia en Vue.js, MongoDB, Docker, GitLab, Flask, SQL, Azure. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"Vue.js, MongoDB, Docker, GitLab, Flask, SQL, Azure",https://www.ejemplo.com/job/1046,job-1046,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,ByteLogic,Zaragoza,2025-04-28,Parcial,Completa,72000 - 110000 €,72000.0,110000.0,91000.0,"Estamos buscando un profesional con experiencia en MySQL, Java, React, Flask, Vue.js, CI/CD. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"MySQL, Java, React, Flask, Vue.js, CI/CD",https://www.ejemplo.com/job/1047,job-1047,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,LogicWorks,Barcelona,2025-04-24,Prácticas,Parcial,28000 - 70000 €,28000.0,70000.0,49000.0,"Estamos buscando un profesional con experiencia en Git, Linux, Node.js, Kubernetes, Jira, Flask, Angular. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Git, Linux, Node.js, Kubernetes, Jira, Flask, Angular",https://www.ejemplo.com/job/1048,job-1048,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cybersecurity Analyst,IntelliSoft,Barcelona,2025-04-30,Prácticas,Parcial,73000 - 112000 €,73000.0,112000.0,92500.0,"Estamos buscando un profesional con experiencia en GCP, JavaScript, SQL, React, Express, Angular, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"GCP, JavaScript, SQL, React, Express, Angular, GitLab",https://www.ejemplo.com/job/1049,job-1049,Adzuna (Simulado),2025-05-18 13:11:27.076933
QA Engineer,DataMinds,Valencia,2025-04-30,Temporal,Completa,36000 - 42000 €,36000.0,42000.0,39000.0,"Estamos buscando un profesional con experiencia en Kubernetes, Angular, Linux, Spring, Flask, PostgreSQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Kubernetes, Angular, Linux, Spring, Flask, PostgreSQL",https://www.ejemplo.com/job/1050,job-1050,Adzuna (Simulado),2025-05-18 13:11:27.076933
