titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,experiencia,nivel,descripcion,requisitos,tecnologias,url,fecha_extraccion
Data Scientist Principal,ByteLogic,Málaga,10/05/2025,Por obra y servicio,Fin de semana,79000 - 121000 € Bruto/año,79000.0,121000.0,15+ años,Principal,"Se precisa Principal desarrollador/a con sólidos conocimientos en Dart, Ruby on Rails, InfluxDB para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 15+ años con Dart
- Conocimientos de Ruby on Rails
- Conocimientos de InfluxDB
- Conocimientos de Postman
- Liderazgo
- Pensamiento crítico
- Resiliencia


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Dart, Ruby on Rails, InfluxDB, Postman","['Dart', 'Ruby on Rails', 'InfluxDB', 'Postman']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Business Intelligence Analyst Senior,DigitalWave,Híbrido (Valencia),25/04/2025,Temporal con posibilidad de indefinido,Intensiva,40000 - 60000 € Bruto/año,40000.0,60000.0,4-8 años,Senior,"Buscamos un Senior desarrollador/a con experiencia en Rust, PyTorch, Couchbase para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 4-8 años con Rust
- Conocimientos de PyTorch
- Conocimientos de Couchbase
- Conocimientos de Terraform
- Pensamiento crítico
- Resolución de problemas
- Capacidad analítica


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, PyTorch, Couchbase, Terraform","['Rust', 'PyTorch', 'Couchbase', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Security Engineer Semisenior,QuantumSystems,Barcelona,14/05/2025,Temporal,Intensiva,27000 - 39000 € Bruto/año,27000.0,39000.0,2-4 años,Semisenior,"Buscamos un Semisenior desarrollador/a con experiencia en C++, Flutter, DynamoDB para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 2-4 años con C++
- Conocimientos de Flutter
- Conocimientos de DynamoDB
- Conocimientos de Confluence
- Metodologías ágiles
- Adaptabilidad
- Creatividad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, Flutter, DynamoDB, Confluence, Prometheus","['C++', 'Flutter', 'DynamoDB', 'Confluence', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Arquitecto/a de Software Staff,TensorMinds,Barcelona,10/05/2025,Prácticas,Parcial (tardes),66000 - 86000 € Bruto/año,66000.0,86000.0,10-15 años,Staff,"Se precisa Staff desarrollador/a con sólidos conocimientos en JavaScript, TensorFlow, Flutter para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 10-15 años con JavaScript
- Conocimientos de TensorFlow
- Conocimientos de Flutter
- Conocimientos de Redis
- Adaptabilidad
- Comunicación
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, TensorFlow, Flutter, Redis, Kubernetes, Prometheus","['JavaScript', 'TensorFlow', 'Flutter', 'Redis', 'Kubernetes', 'Prometheus']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
IT Project Manager Staff,NetArchitects,Barcelona,14/05/2025,Mercantil,Por horas,66000 - 85000 € Bruto/año,66000.0,85000.0,10-15 años,Staff,"¿Te apasiona la tecnología? Únete a nuestro equipo como Staff especialista en C++, PyTorch, Spring Boot. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 10-15 años con C++
- Conocimientos de PyTorch
- Conocimientos de Spring Boot
- Conocimientos de Angular
- Resiliencia
- Kanban
- Liderazgo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, PyTorch, Spring Boot, Angular, Oracle, Postman, Git, Ansible","['C++', 'PyTorch', 'Spring Boot', 'Angular', 'Oracle', 'Postman', 'Git', 'Ansible']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Full Stack Developer Senior,LogicWorks,Híbrido (Valencia),18/04/2025,Prácticas,Flexible,37000 - 59000 € Bruto/año,37000.0,59000.0,4-8 años,Senior,"Se precisa Senior desarrollador/a con sólidos conocimientos en R, ASP.NET, Next.js para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 4-8 años con R
- Conocimientos de ASP.NET
- Conocimientos de Next.js
- Conocimientos de Flask
- Empatía
- Comunicación
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, ASP.NET, Next.js, Flask, SQL Server, Terraform","['R', 'ASP.NET', 'Next.js', 'Flask', 'SQL Server', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Ingeniero/a de Software Semisenior,CodeCraft,Híbrido (Barcelona),02/05/2025,Por obra y servicio,Por horas,27000 - 39000 € Bruto/año,27000.0,39000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en R, Express.js, InfluxDB para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con R
- Conocimientos de Express.js
- Conocimientos de InfluxDB
- Conocimientos de Neo4j
- Gestión del tiempo
- Kanban
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Express.js, InfluxDB, Neo4j, AWS, GitHub Actions","['R', 'Express.js', 'InfluxDB', 'Neo4j', 'AWS', 'GitHub Actions']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Ingeniero/a DevOps Lead,DevFusion,Madrid,20/04/2025,Mercantil,Por horas,51000 - 73000 € Bruto/año,51000.0,73000.0,8-12 años,Lead,"Se precisa Lead desarrollador/a con sólidos conocimientos en Ruby, Angular, TensorFlow para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 8-12 años con Ruby
- Conocimientos de Angular
- Conocimientos de TensorFlow
- Conocimientos de MariaDB
- Liderazgo
- Comunicación
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, Angular, TensorFlow, MariaDB, Ansible","['Ruby', 'Angular', 'TensorFlow', 'MariaDB', 'Ansible']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Cloud Architect Lead,TechSolutions,Murcia,11/05/2025,Indefinido,Parcial (mañanas),49000 - 74000 € Bruto/año,49000.0,74000.0,8-12 años,Lead,"¿Te apasiona la tecnología? Únete a nuestro equipo como Lead especialista en TypeScript, Flask, SQL Server. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 8-12 años con TypeScript
- Conocimientos de Flask
- Conocimientos de SQL Server
- Conocimientos de Google Cloud
- Kanban
- Pensamiento crítico
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Flask, SQL Server, Google Cloud","['TypeScript', 'Flask', 'SQL Server', 'Google Cloud']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
QA Engineer Principal,OptimizeIT,Híbrido (Barcelona),28/04/2025,Freelance,Turnos rotativos,82000 - 120000 € Bruto/año,82000.0,120000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en Go, Express.js, React para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con Go
- Conocimientos de Express.js
- Conocimientos de React
- Conocimientos de SQL Server
- Scrum
- Resolución de problemas
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Express.js, React, SQL Server, Elasticsearch, Confluence, Prometheus","['Go', 'Express.js', 'React', 'SQL Server', 'Elasticsearch', 'Confluence', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Programador/a Scala Principal,DataMind,Híbrido (Valencia),01/05/2025,Temporal,Intensiva,79000 - 120000 € Bruto/año,79000.0,120000.0,15+ años,Principal,"¿Buscas un nuevo desafío profesional? Necesitamos un Principal ingeniero/a con experiencia en Scala, Symfony, Ruby on Rails para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 15+ años con Scala
- Conocimientos de Symfony
- Conocimientos de Ruby on Rails
- Conocimientos de Couchbase
- Metodologías ágiles
- Scrum
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Scala, Symfony, Ruby on Rails, Couchbase, Neo4j, ELK Stack","['Scala', 'Symfony', 'Ruby on Rails', 'Couchbase', 'Neo4j', 'ELK Stack']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Security Engineer Senior,ReactMasters,Alicante,25/04/2025,Temporal,Intensiva,37000 - 61000 € Bruto/año,37000.0,61000.0,4-8 años,Senior,"Se precisa Senior desarrollador/a con sólidos conocimientos en PHP, Next.js, Cassandra para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 4-8 años con PHP
- Conocimientos de Next.js
- Conocimientos de Cassandra
- Conocimientos de SonarQube
- Adaptabilidad
- Pensamiento crítico
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Next.js, Cassandra, SonarQube","['PHP', 'Next.js', 'Cassandra', 'SonarQube']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Programador/a Go Lead,DigitalWave,Alicante,02/05/2025,Mercantil,Turnos rotativos,49000 - 74000 € Bruto/año,49000.0,74000.0,8-12 años,Lead,"Empresa líder en el sector tecnológico busca Lead programador/a con conocimientos de Go, Next.js, Pandas para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 8-12 años con Go
- Conocimientos de Next.js
- Conocimientos de Pandas
- Conocimientos de Couchbase
- Metodologías ágiles
- Orientación a resultados
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Next.js, Pandas, Couchbase, Postman","['Go', 'Next.js', 'Pandas', 'Couchbase', 'Postman']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
IT Project Manager Semisenior,MobileFirst,Zaragoza,17/05/2025,Temporal con posibilidad de indefinido,Flexible,26000 - 37000 € Bruto/año,26000.0,37000.0,2-4 años,Semisenior,"Se precisa Semisenior desarrollador/a con sólidos conocimientos en Go, Flask, Vue.js para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 2-4 años con Go
- Conocimientos de Flask
- Conocimientos de Vue.js
- Conocimientos de Elasticsearch
- Comunicación
- Scrum
- Metodologías ágiles


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Flask, Vue.js, Elasticsearch, PostgreSQL, Kubernetes, Jira","['Go', 'Flask', 'Vue.js', 'Elasticsearch', 'PostgreSQL', 'Kubernetes', 'Jira']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Ingeniero/a de Software Senior,PixelWave,Barcelona,10/05/2025,Indefinido,Flexible,39000 - 62000 € Bruto/año,39000.0,62000.0,4-8 años,Senior,"Empresa líder en el sector tecnológico busca Senior programador/a con conocimientos de Dart, ASP.NET, DynamoDB para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 4-8 años con Dart
- Conocimientos de ASP.NET
- Conocimientos de DynamoDB
- Conocimientos de MariaDB
- Creatividad
- Gestión del tiempo
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Dart, ASP.NET, DynamoDB, MariaDB, SonarQube, ELK Stack","['Dart', 'ASP.NET', 'DynamoDB', 'MariaDB', 'SonarQube', 'ELK Stack']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Systems Administrator Staff,TechSolutions,Málaga,18/05/2025,Mercantil,Flexible,64000 - 86000 € Bruto/año,64000.0,86000.0,10-15 años,Staff,"¿Buscas un nuevo desafío profesional? Necesitamos un Staff ingeniero/a con experiencia en TypeScript, Symfony, React para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 10-15 años con TypeScript
- Conocimientos de Symfony
- Conocimientos de React
- Conocimientos de Angular
- Metodologías ágiles
- Resiliencia
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Symfony, React, Angular, MariaDB, Git","['TypeScript', 'Symfony', 'React', 'Angular', 'MariaDB', 'Git']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Systems Administrator Junior,DevFusion,Bilbao,22/04/2025,Prácticas,Fin de semana,16000 - 27000 € Bruto/año,16000.0,27000.0,0-2 años,Junior,"Buscamos un Junior desarrollador/a con experiencia en TypeScript, FastAPI, Laravel para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 0-2 años con TypeScript
- Conocimientos de FastAPI
- Conocimientos de Laravel
- Conocimientos de SQL Server
- Comunicación
- Capacidad analítica
- Resiliencia


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, FastAPI, Laravel, SQL Server, PostgreSQL, Confluence, Terraform, Ansible","['TypeScript', 'FastAPI', 'Laravel', 'SQL Server', 'PostgreSQL', 'Confluence', 'Terraform', 'Ansible']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Desarrollador/a TypeScript Senior,LogicWorks,Valencia,10/05/2025,Formativo,Flexible,37000 - 62000 € Bruto/año,37000.0,62000.0,4-8 años,Senior,"¿Buscas un nuevo desafío profesional? Necesitamos un Senior ingeniero/a con experiencia en TypeScript, FastAPI, SQL Server para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 4-8 años con TypeScript
- Conocimientos de FastAPI
- Conocimientos de SQL Server
- Conocimientos de MongoDB
- Gestión del tiempo
- Orientación a resultados
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, FastAPI, SQL Server, MongoDB, AWS, Google Cloud, Kubernetes","['TypeScript', 'FastAPI', 'SQL Server', 'MongoDB', 'AWS', 'Google Cloud', 'Kubernetes']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
IT Project Manager Semisenior,MobileFirst,Alicante,17/05/2025,Formativo,Turnos rotativos,26000 - 37000 € Bruto/año,26000.0,37000.0,2-4 años,Semisenior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Semisenior especialista en Go, FastAPI, TensorFlow. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 2-4 años con Go
- Conocimientos de FastAPI
- Conocimientos de TensorFlow
- Conocimientos de Django
- Gestión del tiempo
- Kanban
- Empatía


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, FastAPI, TensorFlow, Django, Redis, Cassandra, Azure, Ansible","['Go', 'FastAPI', 'TensorFlow', 'Django', 'Redis', 'Cassandra', 'Azure', 'Ansible']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
